Ciudad,Tienda,Division,Genero,Edad,Deporte,Referencia,nombre,Talla,Inventario,precio Antes,%DCTO,Precio Ahora,Imagen
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE3528,CLASSIC TP,L,2,$349950,0 %,$349950,https://i.postimg.cc/NMFQQzkD/KE3528.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE3528,CLASSIC TP,S,2,$349950,0 %,$349950,https://i.postimg.cc/NMFQQzkD/KE3528.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE3532,3S TEE,XL,2,$139950,0 %,$139950,https://i.postimg.cc/fRtnPwMW/KE3532.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE3550,3S CREW,L,2,$249950,0 %,$249950,https://i.postimg.cc/N0QG68RB/KE3550.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE3557,3S HD,M,2,$299950,0 %,$299950,https://i.postimg.cc/9fcXdPyc/KE3557.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE3563,3S SHO,XL,2,$199950,0 %,$199950,https://i.postimg.cc/x1JDZ09Q/KE3563.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,ORIGINALS,KE3582,JSY,L,2,$239950,0 %,$239950,https://i.postimg.cc/76JxPK8Y/KE3582.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,FOOTBALL,KE3846,REAL OG TT,L,2,$499950,0 %,$499950,https://i.postimg.cc/Nj00fVMn/KE3846.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,FOOTBALL,KE3846,REAL OG TT,M,2,$499950,0 %,$499950,https://i.postimg.cc/Nj00fVMn/KE3846.jpg
Cartagena,OCS SERREZUELA,APPAREL,MEN,ADULT,FOOTBALL,KE3846,REAL OG TT,S,2,$499950,0 %,$499950,https://i.postimg.cc/Nj00fVMn/KE3846.jpg
